Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_DataBind,Edge Chromium 124,,,27-04-2024 15:06:23,27-04-2024 15:07:03,40.452s,PASSED
,,,,,,,
Test Cases/Log,Edge Chromium 124,,,27-04-2024 15:06:23,27-04-2024 15:06:35,11.832s,PASSED
"openBrowser("""")",Edge Chromium 124,,,27-04-2024 15:06:24,27-04-2024 15:06:28,4.011s,PASSED
navigateToUrl(BaseUrl),Edge Chromium 124,,,27-04-2024 15:06:28,27-04-2024 15:06:29,1.153s,PASSED
"click(findTestObject(""Object Repository/Login/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,27-04-2024 15:06:29,27-04-2024 15:06:30,1.454s,PASSED
"click(findTestObject(""Object Repository/Login/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 124,,,27-04-2024 15:06:30,27-04-2024 15:06:31,0.630s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_JPetStore Demo/input_Need a user name and password_username""), username)",Edge Chromium 124,,,27-04-2024 15:06:31,27-04-2024 15:06:32,0.752s,PASSED
"setText(findTestObject(""Login/Page_JPetStore Demo/input_Need a user name and password_username""), password)",Edge Chromium 124,,,27-04-2024 15:06:32,27-04-2024 15:06:32,0.738s,PASSED
"click(findTestObject(""Object Repository/Login/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 124,,,27-04-2024 15:06:32,27-04-2024 15:06:33,0.972s,PASSED
"click(findTestObject(""Object Repository/Login/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 124,,,27-04-2024 15:06:33,27-04-2024 15:06:34,0.830s,PASSED
closeBrowser(),Edge Chromium 124,,,27-04-2024 15:06:34,27-04-2024 15:06:35,0.668s,PASSED
,,,,,,,
Test Cases/LoginDataBind,Edge Chromium 124,,,27-04-2024 15:06:35,27-04-2024 15:06:44,9.065s,PASSED
"openBrowser("""")",Edge Chromium 124,,,27-04-2024 15:06:35,27-04-2024 15:06:38,2.392s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,27-04-2024 15:06:38,27-04-2024 15:06:39,1.107s,PASSED
"click(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,27-04-2024 15:06:39,27-04-2024 15:06:40,1.105s,PASSED
"click(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 124,,,27-04-2024 15:06:40,27-04-2024 15:06:40,0.634s,PASSED
"setText(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/input_Need a user name and password_username""), username)",Edge Chromium 124,,,27-04-2024 15:06:40,27-04-2024 15:06:41,0.672s,PASSED
"setText(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/input_Need a user name and password_password""), password)",Edge Chromium 124,,,27-04-2024 15:06:41,27-04-2024 15:06:42,0.677s,PASSED
"click(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 124,,,27-04-2024 15:06:42,27-04-2024 15:06:43,1.107s,PASSED
"click(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 124,,,27-04-2024 15:06:43,27-04-2024 15:06:44,0.798s,PASSED
closeBrowser(),Edge Chromium 124,,,27-04-2024 15:06:44,27-04-2024 15:06:44,0.371s,PASSED
,,,,,,,
Test Cases/LoginDataBind,Edge Chromium 124,,,27-04-2024 15:06:44,27-04-2024 15:06:54,10.045s,PASSED
"openBrowser("""")",Edge Chromium 124,,,27-04-2024 15:06:44,27-04-2024 15:06:47,2.629s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,27-04-2024 15:06:47,27-04-2024 15:06:48,1.372s,PASSED
"click(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,27-04-2024 15:06:48,27-04-2024 15:06:50,1.396s,PASSED
"click(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 124,,,27-04-2024 15:06:50,27-04-2024 15:06:50,0.698s,PASSED
"setText(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/input_Need a user name and password_username""), username)",Edge Chromium 124,,,27-04-2024 15:06:50,27-04-2024 15:06:51,0.690s,PASSED
"setText(findTestObject(""Object Repository/LoginDataBind/Page_JPetStore Demo/input_Need a user name and password_password""), password)",Edge Chromium 124,,,27-04-2024 15:06:51,27-04-2024 15:06:52,0.762s,PASSED
