Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_VT_Navigate,Edge Chromium 124,,,28-04-2024 12:15:42,28-04-2024 12:15:58,15.834s,PASSED
,,,,,,,
Test Cases/VT_Navigate,Edge Chromium 124,,,28-04-2024 12:15:42,28-04-2024 12:15:58,15.502s,PASSED
"openBrowser("""")",Edge Chromium 124,,,28-04-2024 12:15:43,28-04-2024 12:15:51,7.954s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,28-04-2024 12:15:51,28-04-2024 12:15:52,1.232s,PASSED
"click(findTestObject(""Object Repository/VT_Navigate/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,28-04-2024 12:15:52,28-04-2024 12:15:54,2.000s,PASSED
"takeScreenshotAsCheckpoint(""mypic"")",Edge Chromium 124,,,28-04-2024 12:15:54,28-04-2024 12:15:55,1.184s,PASSED
"click(findTestObject(""Object Repository/VT_Navigate/Page_JPetStore Demo/img""))",Edge Chromium 124,,,28-04-2024 12:15:55,28-04-2024 12:15:56,0.916s,PASSED
"click(findTestObject(""Object Repository/VT_Navigate/Page_JPetStore Demo/img_1""))",Edge Chromium 124,,,28-04-2024 12:15:56,28-04-2024 12:15:57,0.848s,PASSED
closeBrowser(),Edge Chromium 124,,,28-04-2024 12:15:57,28-04-2024 12:15:58,0.659s,PASSED
